Expiry,Tenor,Spread,LogNormalVol
6Y,10Y,50,0.3107
6Y,10Y,75,0.2981
6Y,10Y,100,0.2879
6Y,10Y,150,0.2732
6Y,10Y,200,0.2645
7Y,10Y,-200,0.7789
7Y,10Y,-150,0.5530
7Y,10Y,-100,0.4466
7Y,10Y,-75,0.4094
7Y,10Y,-50,0.3787
7Y,10Y,-25,0.3531
7Y,10Y,0,0.3317
7Y,10Y,25,0.3140
7Y,10Y,50,0.2994
7Y,10Y,75,0.2875
7Y,10Y,100,0.2778
7Y,10Y,150,0.2641
7Y,10Y,200,0.2560
8Y,10Y,-200,0.7418
8Y,10Y,-150,0.5313
8Y,10Y,-100,0.4301
8Y,10Y,-75,0.3945
8Y,10Y,-50,0.3651
8Y,10Y,-25,0.3405
8Y,10Y,0,0.3201
8Y,10Y,25,0.3032
8Y,10Y,50,0.2891
8Y,10Y,75,0.2776
8Y,10Y,100,0.2684
8Y,10Y,150,0.2554
8Y,10Y,200,0.2479
9Y,10Y,-200,0.7122
9Y,10Y,-150,0.5128
9Y,10Y,-100,0.4158
9Y,10Y,-75,0.3815
9Y,10Y,-50,0.3532
9Y,10Y,-25,0.3295
9Y,10Y,0,0.3098
9Y,10Y,25,0.2935
9Y,10Y,50,0.2800
9Y,10Y,75,0.2689
9Y,10Y,100,0.2601
9Y,10Y,150,0.2478
9Y,10Y,200,0.2407
10Y,15Y,-200,0.6438
10Y,15Y,-150,0.4650
10Y,15Y,-100,0.3758
10Y,15Y,-75,0.3441
10Y,15Y,-50,0.3178
10Y,15Y,-25,0.2958
10Y,15Y,0,0.2775
10Y,15Y,25,0.2626
10Y,15Y,50,0.2503
10Y,15Y,75,0.2405
10Y,15Y,100,0.2329
10Y,15Y,150,0.2228
10Y,15Y,200,0.2179
1M,15Y,-200,NA
1M,15Y,-150,1.0595
1M,15Y,-100,0.6597
1M,15Y,-75,0.5378
1M,15Y,-50,0.4454
1M,15Y,-25,0.3782
1M,15Y,-20,0.3675
1M,15Y,-15,0.3578
1M,15Y,-10,0.3492
1M,15Y,-5,0.3417
1M,15Y,0,0.3352
1M,15Y,5,0.3299
1M,15Y,10,0.3256
1M,15Y,15,0.3224
1M,15Y,20,0.3202
1M,15Y,25,0.3189
1M,15Y,50,0.3234
1M,15Y,75,0.3407
1M,15Y,100,0.3637
1M,15Y,150,0.4089
1M,15Y,200,0.4506
1Y,15Y,-200,1.4169
1Y,15Y,-150,0.7512
1Y,15Y,-100,0.5573
1Y,15Y,-75,0.4964
1Y,15Y,-50,0.4488
1Y,15Y,-25,0.4109
1Y,15Y,0,0.3809
1Y,15Y,25,0.3576
1Y,15Y,50,0.3400
1Y,15Y,75,0.3274
1Y,15Y,100,0.3186
1Y,15Y,150,0.3097
1Y,15Y,200,0.3076
2Y,15Y,-200,1.0972
2Y,15Y,-150,0.6758
2Y,15Y,-100,0.5177
2Y,15Y,-75,0.4665
2Y,15Y,-50,0.4258
2Y,15Y,-25,0.3929
2Y,15Y,0,0.3660
2Y,15Y,25,0.3443
2Y,15Y,50,0.3270
2Y,15Y,75,0.3134
2Y,15Y,100,0.3030
2Y,15Y,150,0.2898
2Y,15Y,200,0.2833
3M,15Y,-200,2.7078
3M,15Y,-150,0.9321
3M,15Y,-100,0.6341
3M,15Y,-75,0.5416
3M,15Y,-50,0.4699
3M,15Y,-25,0.4154
3M,15Y,-20,0.4064
3M,15Y,-15,0.3982
3M,15Y,-10,0.3905
3M,15Y,-5,0.3837
3M,15Y,0,0.3775
3M,15Y,5,0.3719
3M,15Y,10,0.3670
3M,15Y,15,0.3628
3M,15Y,20,0.3591
3M,15Y,25,0.3560
3M,15Y,50,0.3482
3M,15Y,75,0.3497
3M,15Y,100,0.3565
3M,15Y,150,0.3763
3M,15Y,200,0.3974
3Y,15Y,-200,0.9383
3Y,15Y,-150,0.6228
3Y,15Y,-100,0.4880
3Y,15Y,-75,0.4426
3Y,15Y,-50,0.4062
3Y,15Y,-25,0.3763
3Y,15Y,0,0.3518
3Y,15Y,25,0.3316
3Y,15Y,50,0.3152
3Y,15Y,75,0.3020
3Y,15Y,100,0.2917
3Y,15Y,150,0.2777
3Y,15Y,200,0.2702
4Y,15Y,-200,0.8387
4Y,15Y,-150,0.5798
4Y,15Y,-100,0.4612
4Y,15Y,-75,0.4201
4Y,15Y,-50,0.3864
4Y,15Y,-25,0.3588
4Y,15Y,0,0.3358
4Y,15Y,25,0.3169
4Y,15Y,50,0.3013
4Y,15Y,75,0.2887
4Y,15Y,100,0.2787
4Y,15Y,150,0.2649
4Y,15Y,200,0.2572
5Y,15Y,-200,0.7816
5Y,15Y,-150,0.5525
5Y,15Y,-100,0.4430
5Y,15Y,-75,0.4045
5Y,15Y,-50,0.3728
5Y,15Y,-25,0.3464
5Y,15Y,0,0.3246
5Y,15Y,25,0.3066
5Y,15Y,50,0.2917
5Y,15Y,75,0.2797
5Y,15Y,100,0.2702
5Y,15Y,150,0.2571
5Y,15Y,200,0.2499
6M,15Y,-200,1.9107
6M,15Y,-150,0.8340
6M,15Y,-100,0.5954
6M,15Y,-75,0.5210
6M,15Y,-50,0.4632
6M,15Y,-25,0.4184
6M,15Y,0,0.3851
6M,15Y,25,0.3621
6M,15Y,50,0.3478
6M,15Y,75,0.3404
6M,15Y,100,0.3379
6M,15Y,150,0.3408
6M,15Y,200,0.3484
6Y,15Y,-200,0.7338
6Y,15Y,-150,0.5267
6Y,15Y,-100,0.4247
6Y,15Y,-75,0.3885
6Y,15Y,-50,0.3585
6Y,15Y,-25,0.3333
6Y,15Y,0,0.3125
6Y,15Y,25,0.2952
6Y,15Y,50,0.2811
6Y,15Y,75,0.2697
6Y,15Y,100,0.2606
6Y,15Y,150,0.2482
6Y,15Y,200,0.2416
7Y,15Y,-200,0.7015
7Y,15Y,-150,0.5072
7Y,15Y,-100,0.4102
7Y,15Y,-75,0.3757
7Y,15Y,-50,0.3469
7Y,15Y,-25,0.3227
7Y,15Y,0,0.3027
7Y,15Y,25,0.2861
7Y,15Y,50,0.2725
7Y,15Y,75,0.2616
7Y,15Y,100,0.2529
7Y,15Y,150,0.2413
7Y,15Y,200,0.2351
8Y,15Y,-200,0.6812
8Y,15Y,-150,0.4927
8Y,15Y,-100,0.3983
8Y,15Y,-75,0.3646
8Y,15Y,-50,0.3366
8Y,15Y,-25,0.3133
8Y,15Y,0,0.2938
8Y,15Y,25,0.2779
8Y,15Y,50,0.2649
8Y,15Y,75,0.2544
8Y,15Y,100,0.2462
8Y,15Y,150,0.2354
8Y,15Y,200,0.2300
9Y,15Y,-200,0.6609
9Y,15Y,-150,0.4783
9Y,15Y,-100,0.3867
9Y,15Y,-75,0.3541
9Y,15Y,-50,0.3271
9Y,15Y,-25,0.3045
9Y,15Y,0,0.2857
9Y,15Y,25,0.2702
9Y,15Y,50,0.2577
9Y,15Y,75,0.2475
9Y,15Y,100,0.2397
9Y,15Y,150,0.2292
9Y,15Y,200,0.2240
10Y,1Y,-200,0.9112
10Y,1Y,-150,0.5967
10Y,1Y,-100,0.4741
10Y,1Y,-75,0.4335
10Y,1Y,-50,0.4004
10Y,1Y,-25,0.3729
10Y,1Y,0,0.3501
10Y,1Y,25,0.3310
10Y,1Y,50,0.3148
10Y,1Y,75,0.3013
10Y,1Y,100,0.2899
10Y,1Y,150,0.2729
10Y,1Y,200,0.2616
1M,1Y,-200,NA
1M,1Y,-150,NA
1M,1Y,-100,NA
1M,1Y,-75,1.4547
1M,1Y,-50,0.7412
1M,1Y,-25,0.5216
1M,1Y,-20,0.4943
1M,1Y,-15,0.4717
1M,1Y,-10,0.4533
1M,1Y,-5,0.4391
1M,1Y,0,0.4285
1M,1Y,5,0.4213
1M,1Y,10,0.4166
1M,1Y,15,0.4142
1M,1Y,20,0.4139
1M,1Y,25,0.4154
1M,1Y,50,0.4401
1M,1Y,75,0.4710
1M,1Y,100,0.5020
1M,1Y,150,0.5437
1M,1Y,200,0.5704
1Y,1Y,-200,NA
1Y,1Y,-150,NA
1Y,1Y,-100,2.1187
1Y,1Y,-75,1.0539
1Y,1Y,-50,0.7994
1Y,1Y,-25,0.6664
1Y,1Y,-20,0.6470
1Y,1Y,-15,0.6289
1Y,1Y,-10,0.6124
1Y,1Y,-5,0.5975
1Y,1Y,0,0.5835
1Y,1Y,5,0.5707
1Y,1Y,10,0.5589
1Y,1Y,15,0.5479
1Y,1Y,20,0.5378
1Y,1Y,25,0.5285
1Y,1Y,50,0.4917
1Y,1Y,75,0.4674
1Y,1Y,100,0.4513
1Y,1Y,150,0.4345
1Y,1Y,200,0.4285
2Y,1Y,-200,NA
2Y,1Y,-150,NA
2Y,1Y,-100,1.2829
2Y,1Y,-75,0.9560
2Y,1Y,-50,0.7924
2Y,1Y,-25,0.6878
2Y,1Y,-20,0.6712
2Y,1Y,-15,0.6556
2Y,1Y,-10,0.6410
2Y,1Y,-5,0.6272
2Y,1Y,0,0.6143
2Y,1Y,5,0.6020
2Y,1Y,10,0.5906
2Y,1Y,15,0.5798
2Y,1Y,20,0.5694
2Y,1Y,25,0.5597
2Y,1Y,50,0.5181
2Y,1Y,75,0.4861
2Y,1Y,100,0.4613
2Y,1Y,150,0.4274
2Y,1Y,200,0.4076
3M,1Y,-200,NA
3M,1Y,-150,NA
3M,1Y,-100,NA
3M,1Y,-75,1.4071
3M,1Y,-50,0.8456
3M,1Y,-25,0.6451
3M,1Y,-20,0.6197
3M,1Y,-15,0.5978
3M,1Y,-10,0.5786
3M,1Y,-5,0.5623
3M,1Y,0,0.5483
3M,1Y,5,0.5366
3M,1Y,10,0.5268
3M,1Y,15,0.5188
3M,1Y,20,0.5123
3M,1Y,25,0.5071
3M,1Y,50,0.4972
3M,1Y,75,0.5031
3M,1Y,100,0.5159
3M,1Y,150,0.5455
3M,1Y,200,0.5703
3Y,1Y,-200,NA
3Y,1Y,-150,NA
3Y,1Y,-100,1.0590
3Y,1Y,-75,0.8624
3Y,1Y,-50,0.7429
3Y,1Y,-25,0.6593
3Y,1Y,0,0.5972
3Y,1Y,25,0.5491
3Y,1Y,50,0.5111
3Y,1Y,75,0.4806
3Y,1Y,100,0.4561
3Y,1Y,150,0.4204
3Y,1Y,200,0.3973
4Y,1Y,-200,NA
4Y,1Y,-150,1.7981
4Y,1Y,-100,0.8690
4Y,1Y,-75,0.7429
4Y,1Y,-50,0.6568
4Y,1Y,-25,0.5927
4Y,1Y,0,0.5431
4Y,1Y,25,0.5037
4Y,1Y,50,0.4717
4Y,1Y,75,0.4456
4Y,1Y,100,0.4242
4Y,1Y,150,0.3923
4Y,1Y,200,0.3709
5Y,1Y,-200,NA
5Y,1Y,-150,1.1238
5Y,1Y,-100,0.7352
5Y,1Y,-75,0.6463
5Y,1Y,-50,0.5812
5Y,1Y,-25,0.5305
5Y,1Y,0,0.4901
5Y,1Y,25,0.4574
5Y,1Y,50,0.4305
5Y,1Y,75,0.4082
5Y,1Y,100,0.3898
5Y,1Y,150,0.3619
5Y,1Y,200,0.3431
6M,1Y,-200,NA
6M,1Y,-150,NA
6M,1Y,-100,NA
6M,1Y,-75,1.1688
6M,1Y,-50,0.7929
6M,1Y,-25,0.6289
6M,1Y,-20,0.6067
6M,1Y,-15,0.5868
6M,1Y,-10,0.5694
6M,1Y,-5,0.5538
6M,1Y,0,0.5402
6M,1Y,5,0.5280
6M,1Y,10,0.5173
6M,1Y,15,0.5081
6M,1Y,20,0.5001
6M,1Y,25,0.4930
6M,1Y,50,0.4712
6M,1Y,75,0.4633
6M,1Y,100,0.4629
6M,1Y,150,0.4711
6M,1Y,200,0.4833
6Y,1Y,-200,NA
6Y,1Y,-150,0.8859
6Y,1Y,-100,0.6396
6Y,1Y,-75,0.5718
6Y,1Y,-50,0.5200
6Y,1Y,-25,0.4786
6Y,1Y,0,0.4449
6Y,1Y,25,0.4172
6Y,1Y,50,0.3943
6Y,1Y,75,0.3751
6Y,1Y,100,0.3591
6Y,1Y,150,0.3348
6Y,1Y,200,0.3183
7Y,1Y,-200,2.1998
7Y,1Y,-150,0.7689
7Y,1Y,-100,0.5805
7Y,1Y,-75,0.5241
7Y,1Y,-50,0.4797
7Y,1Y,-25,0.4437
7Y,1Y,0,0.4142
7Y,1Y,25,0.3895
7Y,1Y,50,0.3691
7Y,1Y,75,0.3519
7Y,1Y,100,0.3375
7Y,1Y,150,0.3157
7Y,1Y,200,0.3010
8Y,1Y,-200,1.2528
8Y,1Y,-150,0.6938
8Y,1Y,-100,0.5358
8Y,1Y,-75,0.4864
8Y,1Y,-50,0.4467
8Y,1Y,-25,0.4144
8Y,1Y,0,0.3876
8Y,1Y,25,0.3652
8Y,1Y,50,0.3466
8Y,1Y,75,0.3309
8Y,1Y,100,0.3178
8Y,1Y,150,0.2981
8Y,1Y,200,0.2849
9Y,1Y,-200,1.0338
9Y,1Y,-150,0.6393
9Y,1Y,-100,0.5021
9Y,1Y,-75,0.4575
9Y,1Y,-50,0.4217
9Y,1Y,-25,0.3920
9Y,1Y,0,0.3675
9Y,1Y,25,0.3468
9Y,1Y,50,0.3296
9Y,1Y,75,0.3150
9Y,1Y,100,0.3029
9Y,1Y,150,0.2846
9Y,1Y,200,0.2725
10Y,20Y,-200,0.6282
10Y,20Y,-150,0.4504
10Y,20Y,-100,0.3621
10Y,20Y,-75,0.3308
10Y,20Y,-50,0.3049
10Y,20Y,-25,0.2832
10Y,20Y,0,0.2653
10Y,20Y,25,0.2507
10Y,20Y,50,0.2388
10Y,20Y,75,0.2294
10Y,20Y,100,0.2223
10Y,20Y,150,0.2131
10Y,20Y,200,0.2089
1M,20Y,-200,1.7578
1M,20Y,-150,0.9182
1M,20Y,-100,0.5991
1M,20Y,-75,0.4941
1M,20Y,-50,0.4118
1M,20Y,-25,0.3504
1M,20Y,-20,0.3405
1M,20Y,-15,0.3315
1M,20Y,-10,0.3233
1M,20Y,-5,0.3162
1M,20Y,0,0.3100
1M,20Y,5,0.3048
1M,20Y,10,0.3006
1M,20Y,15,0.2975
1M,20Y,20,0.2952
1M,20Y,25,0.2939
1M,20Y,50,0.2978
1M,20Y,75,0.3145
1M,20Y,100,0.3368
1M,20Y,150,0.3808
1M,20Y,200,0.4209
1Y,20Y,-200,1.0880
1Y,20Y,-150,0.6779
1Y,20Y,-100,0.5152
1Y,20Y,-75,0.4611
1Y,20Y,-50,0.4179
1Y,20Y,-25,0.3830
1Y,20Y,0,0.3552
1Y,20Y,25,0.3335
1Y,20Y,50,0.3171
1Y,20Y,75,0.3053
1Y,20Y,100,0.2973
1Y,20Y,150,0.2897
1Y,20Y,200,0.2886
2Y,20Y,-200,0.9368
2Y,20Y,-150,0.6213
2Y,20Y,-100,0.4826
2Y,20Y,-75,0.4360
2Y,20Y,-50,0.3986
2Y,20Y,-25,0.3680
2Y,20Y,0,0.3430
2Y,20Y,25,0.3227
2Y,20Y,50,0.3065
2Y,20Y,75,0.2940
2Y,20Y,100,0.2845
2Y,20Y,150,0.2728
2Y,20Y,200,0.2676
3M,20Y,-200,1.5135
3M,20Y,-150,0.8222
3M,20Y,-100,0.5804
3M,20Y,-75,0.4999
3M,20Y,-50,0.4359
3M,20Y,-25,0.3864
3M,20Y,-20,0.3782
3M,20Y,-15,0.3707
3M,20Y,-10,0.3637
3M,20Y,-5,0.3573
3M,20Y,0,0.3515
3M,20Y,5,0.3463
3M,20Y,10,0.3417
3M,20Y,15,0.3378
3M,20Y,20,0.3343
3M,20Y,25,0.3315
3M,20Y,50,0.3242
3M,20Y,75,0.3259
3M,20Y,100,0.3328
3M,20Y,150,0.3529
3M,20Y,200,0.3745
3Y,20Y,-200,0.8374
3Y,20Y,-150,0.5788
3Y,20Y,-100,0.4575
3Y,20Y,-75,0.4154
3Y,20Y,-50,0.3814
3Y,20Y,-25,0.3535
3Y,20Y,0,0.3304
3Y,20Y,25,0.3115
3Y,20Y,50,0.2961
3Y,20Y,75,0.2839
3Y,20Y,100,0.2745
3Y,20Y,150,0.2621
3Y,20Y,200,0.2559
4Y,20Y,-200,0.7681
4Y,20Y,-150,0.5432
4Y,20Y,-100,0.4342
4Y,20Y,-75,0.3956
4Y,20Y,-50,0.3640
4Y,20Y,-25,0.3378
4Y,20Y,0,0.3162
4Y,20Y,25,0.2984
4Y,20Y,50,0.2838
4Y,20Y,75,0.2722
4Y,20Y,100,0.2630
4Y,20Y,150,0.2510
4Y,20Y,200,0.2447
5Y,20Y,-200,0.7311
5Y,20Y,-150,0.5223
5Y,20Y,-100,0.4191
5Y,20Y,-75,0.3823
5Y,20Y,-50,0.3519
5Y,20Y,-25,0.3269
5Y,20Y,0,0.3060
5Y,20Y,25,0.2889
5Y,20Y,50,0.2750
5Y,20Y,75,0.2638
5Y,20Y,100,0.2552
5Y,20Y,150,0.2438
5Y,20Y,200,0.2380
6M,20Y,-200,1.2817
6M,20Y,-150,0.7434
6M,20Y,-100,0.5478
6M,20Y,-75,0.4828
6M,20Y,-50,0.4311
6M,20Y,-25,0.3905
6M,20Y,0,0.3598
6M,20Y,25,0.3384
6M,20Y,50,0.3252
6M,20Y,75,0.3185
6M,20Y,100,0.3164
6M,20Y,150,0.3200
6M,20Y,200,0.3281
6Y,20Y,-200,0.7000
6Y,20Y,-150,0.5036
6Y,20Y,-100,0.4050
6Y,20Y,-75,0.3698
6Y,20Y,-50,0.3406
6Y,20Y,-25,0.3164
6Y,20Y,0,0.2964
6Y,20Y,25,0.2799
6Y,20Y,50,0.2665
6Y,20Y,75,0.2557
6Y,20Y,100,0.2475
6Y,20Y,150,0.2366
6Y,20Y,200,0.2313
7Y,20Y,-200,0.6771
7Y,20Y,-150,0.4885
7Y,20Y,-100,0.3933
7Y,20Y,-75,0.3594
7Y,20Y,-50,0.3312
7Y,20Y,-25,0.3077
7Y,20Y,0,0.2883
7Y,20Y,25,0.2724
7Y,20Y,50,0.2594
7Y,20Y,75,0.2492
7Y,20Y,100,0.2412
7Y,20Y,150,0.2309
7Y,20Y,200,0.2258
8Y,20Y,-200,0.6607
8Y,20Y,-150,0.4760
8Y,20Y,-100,0.3829
8Y,20Y,-75,0.3498
8Y,20Y,-50,0.3223
8Y,20Y,-25,0.2995
8Y,20Y,0,0.2807
8Y,20Y,25,0.2651
8Y,20Y,50,0.2527
8Y,20Y,75,0.2428
8Y,20Y,100,0.2351
8Y,20Y,150,0.2255
8Y,20Y,200,0.2210
9Y,20Y,-200,0.6429
9Y,20Y,-150,0.4625
9Y,20Y,-100,0.3722
9Y,20Y,-75,0.3401
9Y,20Y,-50,0.3135
9Y,20Y,-25,0.2913
9Y,20Y,0,0.2729
9Y,20Y,25,0.2579
9Y,20Y,50,0.2458
9Y,20Y,75,0.2362
9Y,20Y,100,0.2288
9Y,20Y,150,0.2195
9Y,20Y,200,0.2151
10Y,2Y,-200,0.8560
10Y,2Y,-150,0.5773
10Y,2Y,-100,0.4615
10Y,2Y,-75,0.4226
10Y,2Y,-50,0.3908
10Y,2Y,-25,0.3643
10Y,2Y,0,0.3424
10Y,2Y,25,0.3238
10Y,2Y,50,0.3084
10Y,2Y,75,0.2954
10Y,2Y,100,0.2847
10Y,2Y,150,0.2688
10Y,2Y,200,0.2585
1M,2Y,-200,NA
1M,2Y,-150,NA
1M,2Y,-100,NA
1M,2Y,-75,1.1581
1M,2Y,-50,0.7831
1M,2Y,-25,0.6093
1M,2Y,-20,0.5863
1M,2Y,-15,0.5665
1M,2Y,-10,0.5497
1M,2Y,-5,0.5359
1M,2Y,0,0.5246
1M,2Y,5,0.5153
1M,2Y,10,0.5084
1M,2Y,15,0.5028
1M,2Y,20,0.4991
1M,2Y,25,0.4964
1M,2Y,50,0.5005
1M,2Y,75,0.5188
1M,2Y,100,0.5391
1M,2Y,150,0.5748
1M,2Y,200,0.6021
1Y,2Y,-200,NA
1Y,2Y,-150,NA
1Y,2Y,-100,1.4312
1Y,2Y,-75,0.9778
1Y,2Y,-50,0.7853
1Y,2Y,-25,0.6717
1Y,2Y,-20,0.6541
1Y,2Y,-15,0.6380
1Y,2Y,-10,0.6228
1Y,2Y,-5,0.6089
1Y,2Y,0,0.5959
1Y,2Y,5,0.5839
1Y,2Y,10,0.5725
1Y,2Y,15,0.5620
1Y,2Y,20,0.5522
1Y,2Y,25,0.5431
1Y,2Y,50,0.5057
1Y,2Y,75,0.4795
1Y,2Y,100,0.4613
1Y,2Y,150,0.4401
1Y,2Y,200,0.4310
2Y,2Y,-200,NA
2Y,2Y,-150,NA
2Y,2Y,-100,1.0852
2Y,2Y,-75,0.8630
2Y,2Y,-50,0.7339
2Y,2Y,-25,0.6466
2Y,2Y,-20,0.6323
2Y,2Y,-15,0.6190
2Y,2Y,-10,0.6063
2Y,2Y,-5,0.5944
2Y,2Y,0,0.5830
2Y,2Y,5,0.5724
2Y,2Y,10,0.5623
2Y,2Y,15,0.5529
2Y,2Y,20,0.5437
2Y,2Y,25,0.5352
2Y,2Y,50,0.4980
2Y,2Y,75,0.4693
2Y,2Y,100,0.4467
2Y,2Y,150,0.4157
2Y,2Y,200,0.3974
3M,2Y,-200,NA
3M,2Y,-150,NA
3M,2Y,-100,NA
3M,2Y,-75,1.1906
3M,2Y,-50,0.8598
3M,2Y,-25,0.6965
3M,2Y,-20,0.6737
3M,2Y,-15,0.6534
3M,2Y,-10,0.6355
3M,2Y,-5,0.6196
3M,2Y,0,0.6054
3M,2Y,5,0.5929
3M,2Y,10,0.5821
3M,2Y,15,0.5726
3M,2Y,20,0.5646
3M,2Y,25,0.5576
3M,2Y,50,0.5369
3M,2Y,75,0.5321
3M,2Y,100,0.5359
3M,2Y,150,0.5541
3M,2Y,200,0.5749
3Y,2Y,-200,NA
3Y,2Y,-150,2.7138
3Y,2Y,-100,0.9112
3Y,2Y,-75,0.7689
3Y,2Y,-50,0.6741
3Y,2Y,-25,0.6049
3Y,2Y,0,0.5523
3Y,2Y,25,0.5108
3Y,2Y,50,0.4777
3Y,2Y,75,0.4511
3Y,2Y,100,0.4296
3Y,2Y,150,0.3985
3Y,2Y,200,0.3788
4Y,2Y,-200,NA
4Y,2Y,-150,1.2480
4Y,2Y,-100,0.7712
4Y,2Y,-75,0.6728
4Y,2Y,-50,0.6018
4Y,2Y,-25,0.5475
4Y,2Y,0,0.5047
4Y,2Y,25,0.4703
4Y,2Y,50,0.4421
4Y,2Y,75,0.4190
4Y,2Y,100,0.4001
4Y,2Y,150,0.3718
4Y,2Y,200,0.3531
5Y,2Y,-200,NA
5Y,2Y,-150,0.9631
5Y,2Y,-100,0.6754
5Y,2Y,-75,0.6003
5Y,2Y,-50,0.5433
5Y,2Y,-25,0.4983
5Y,2Y,0,0.4620
5Y,2Y,25,0.4323
5Y,2Y,50,0.4078
5Y,2Y,75,0.3875
5Y,2Y,100,0.3706
5Y,2Y,150,0.3453
5Y,2Y,200,0.3285
6M,2Y,-200,NA
6M,2Y,-150,NA
6M,2Y,-100,2.1063
6M,2Y,-75,1.0959
6M,2Y,-50,0.8281
6M,2Y,-25,0.6862
6M,2Y,-20,0.6655
6M,2Y,-15,0.6469
6M,2Y,-10,0.6297
6M,2Y,-5,0.6143
6M,2Y,0,0.6005
6M,2Y,5,0.5880
6M,2Y,10,0.5766
6M,2Y,15,0.5662
6M,2Y,20,0.5570
6M,2Y,25,0.5487
6M,2Y,50,0.5188
6M,2Y,75,0.5028
6M,2Y,100,0.4955
6M,2Y,150,0.4943
6M,2Y,200,0.5012
6Y,2Y,-200,NA
6Y,2Y,-150,0.8025
6Y,2Y,-100,0.5993
6Y,2Y,-75,0.5398
6Y,2Y,-50,0.4930
6Y,2Y,-25,0.4554
6Y,2Y,0,0.4246
6Y,2Y,25,0.3990
6Y,2Y,50,0.3778
6Y,2Y,75,0.3600
6Y,2Y,100,0.3453
6Y,2Y,150,0.3229
6Y,2Y,200,0.3080
7Y,2Y,-200,1.3475
